material,surface,emotion,hex,r,g,b,reflectivity,roughness
fabric,translucent,bright,#F41653,244,22,83,0.68,0.16
foam,distressed,luxury,#9EAD31,158,173,49,0.87,0.87
clay,grainy,soft,#FF2150,255,33,80,0.86,0.6
foam,translucent,calm,#AA461A,170,70,26,0.68,0.62
copper,satin,cold,#7F5C26,127,92,38,0.18,0.81
marble,matte,muted,#0358FF,3,88,255,0.24,0.8
brass,grainy,aggressive,#3EE25D,62,226,93,0.34,0.27
ceramic,rough,energetic,#BFC2ED,191,194,237,0.29,0.17
tile,rough,professional,#55826F,85,130,111,0.83,0.45
aluminum,rough,aggressive,#0EAA9D,14,170,157,0.49,0.68
concrete,soft-touch,luxury,#528917,82,137,23,0.93,0.21
clay,textured,warm,#A0F15F,160,241,95,0.71,0.15
clay,raw,professional,#9AADE9,154,173,233,0.92,0.13
sand,weathered,neutral,#FF29B6,255,41,182,0.67,0.52
tile,raw,soft,#9B7624,155,118,36,0.56,0.51
granite,reflective,luxury,#9A1C77,154,28,119,0.84,0.69
clay,smooth,warm,#F064EA,240,100,234,0.64,0.71
tile,opaque,muted,#1F1129,31,17,41,0.76,0.46
fabric,smooth,calm,#D906EB,217,6,235,0.27,0.01
ceramic,porous,bright,#638AD6,99,138,214,0.89,0.61
steel,brushed,warm,#BE002B,190,0,43,0.66,0.91
carbon fiber,smooth,mysterious,#C6E836,198,232,54,0.35,0.72
brass,aged,bright,#924D2E,146,77,46,0.18,0.73
concrete,soft-touch,professional,#68D022,104,208,34,0.16,0.08
steel,polished,neutral,#BAFBBF,186,251,191,0.18,0.02
bronze,aged,aggressive,#F66870,246,104,112,0.71,0.8
foam,grainy,warm,#4932B5,73,50,181,0.16,0.65
bronze,soft-touch,natural,#D5EBD1,213,235,209,0.3,0.86
paper,opaque,cold,#888796,136,135,150,0.61,0.97
paper,raw,luxury,#3B4748,59,71,72,0.23,0.28
leather,rough,playful,#A46C23,164,108,35,0.27,0.45
foam,distressed,playful,#A4EE49,164,238,73,0.62,0.8
aluminum,textured,professional,#D8DE16,216,222,22,0.61,0.41
leather,soft-touch,energetic,#D14D19,209,77,25,0.43,0.22
steel,grainy,warm,#D1928E,209,146,142,0.2,0.15
copper,smooth,luxury,#72A25F,114,162,95,0.76,0.22
marble,reflective,bright,#A10340,161,3,64,0.18,0.51
granite,coated,aggressive,#A06180,160,97,128,0.53,0.92
carbon fiber,soft-touch,neutral,#D86A46,216,106,70,0.71,0.57
leather,polished,mysterious,#8CFAEE,140,250,238,0.68,0.67
marble,glossy,calm,#485F16,72,95,22,0.16,0.42
copper,weathered,bright,#76AC07,118,172,7,0.65,0.5
glass,weathered,luxury,#32BF1C,50,191,28,0.11,0.86
paper,aged,energetic,#B61947,182,25,71,0.81,0.91
ceramic,distressed,playful,#CC634D,204,99,77,0.3,0.88
granite,weathered,playful,#57AFEC,87,175,236,0.93,0.57
plastic,polished,warm,#34697F,52,105,127,0.84,0.7
granite,soft-touch,soft,#1AACD1,26,172,209,0.57,0.79
carbon fiber,grainy,mysterious,#5F1E57,95,30,87,0.23,0.05
wood,opaque,natural,#50493C,80,73,60,0.86,0.49
concrete,reflective,natural,#E1C845,225,200,69,0.61,0.73
aluminum,glossy,cold,#52137E,82,19,126,0.74,0.57
marble,aged,cold,#24452B,36,69,43,0.77,0.93
stone,opaque,energetic,#160A70,22,10,112,0.17,0.22
rubber,opaque,professional,#572FEB,87,47,235,0.6,0.97
marble,glossy,aggressive,#70BA06,112,186,6,0.15,0.3
plastic,porous,soft,#FA5ADA,250,90,218,0.78,0.21
concrete,rough,soft,#F3D2E5,243,210,229,0.56,0.6
plastic,soft-touch,muted,#75A8BE,117,168,190,0.26,0.85
steel,textured,natural,#118AC3,17,138,195,0.64,1.0
tile,opaque,professional,#626011,98,96,17,0.82,0.12
stone,weathered,muted,#58CB68,88,203,104,0.34,0.43
plastic,coated,bright,#726E3E,114,110,62,0.2,0.29
stone,aged,soft,#A6C8EE,166,200,238,0.59,0.48
wood,satin,soft,#5B22B0,91,34,176,0.31,0.21
metal,weathered,luxury,#2A0780,42,7,128,0.46,0.53
bronze,matte,warm,#D108AB,209,8,171,0.19,0.72
plastic,matte,natural,#D936AA,217,54,170,0.55,0.3
marble,translucent,natural,#F4108E,244,16,142,0.38,0.87
steel,coated,mysterious,#058C39,5,140,57,0.93,0.19
copper,glossy,calm,#DAADB3,218,173,179,0.93,0.61
steel,weathered,playful,#7312EC,115,18,236,0.86,0.25
velvet,rough,cold,#BE1A4A,190,26,74,0.39,0.1
sand,coated,professional,#128188,18,129,136,0.79,0.55
foam,reflective,bright,#D492F9,212,146,249,0.44,0.89
metal,smooth,muted,#ECB2E7,236,178,231,0.22,0.76
wood,textured,muted,#40F3A9,64,243,169,0.47,0.15
ceramic,satin,calm,#5B82A8,91,130,168,0.14,0.41
glass,matte,aggressive,#D97476,217,116,118,0.15,0.41
wood,coated,warm,#33B4F9,51,180,249,0.88,0.1
metal,matte,professional,#60897B,96,137,123,0.24,0.33
metal,opaque,neutral,#EE98B5,238,152,181,0.19,0.95
paper,polished,cold,#D5C33D,213,195,61,0.11,0.95
velvet,translucent,calm,#7C481B,124,72,27,0.76,0.12
clay,smooth,bright,#7A8E51,122,142,81,0.66,0.59
bronze,translucent,professional,#ACDB92,172,219,146,0.27,0.21
plastic,raw,neutral,#D016D3,208,22,211,0.63,0.5
foam,porous,warm,#5BAD65,91,173,101,0.55,0.8
ceramic,grainy,calm,#6F701E,111,112,30,0.73,0.92
marble,reflective,mysterious,#F130AE,241,48,174,0.77,0.49
rubber,distressed,luxury,#113AFF,17,58,255,0.49,0.79
leather,raw,bright,#B313C5,179,19,197,0.44,0.07
metal,lacquered,muted,#088B53,8,139,83,0.92,0.61
glass,raw,aggressive,#4C365E,76,54,94,0.21,0.87
metal,weathered,calm,#B78393,183,131,147,0.91,0.72
carbon fiber,rough,neutral,#F45CF8,244,92,248,0.28,0.57
plastic,textured,warm,#ECFEF0,236,254,240,0.11,0.85
concrete,rough,mysterious,#61AC31,97,172,49,0.76,0.48
brass,distressed,aggressive,#92FE9E,146,254,158,0.6,0.0
stone,satin,calm,#E08B2E,224,139,46,0.8,0.45
aluminum,grainy,bright,#3E177F,62,23,127,0.36,0.62
rubber,lacquered,neutral,#8B6DF3,139,109,243,0.88,0.42
paper,matte,aggressive,#F09FBA,240,159,186,0.16,0.22
bronze,rough,luxury,#31FF31,49,255,49,0.92,0.77
aluminum,translucent,mysterious,#4F6992,79,105,146,0.73,0.57
