context,object_category,emotion,hex,r,g,b,saturation,brightness,mood_score
desert highway,stone,romantic,#82A26E,130,162,110,0.23,0.65,0.77
cyberpunk alley,artificial-light,lonely,#B80312,184,3,18,0.36,0.32,0.55
quiet meadow,urban,excited,#E19377,225,147,119,0.74,0.57,0.45
crystal cavern,market,excited,#46E11C,70,225,28,0.99,0.97,0.53
old library,lab,intense,#1A6B6B,26,107,107,0.35,0.19,0.96
cyberpunk alley,nature,warm,#4C22D2,76,34,210,0.46,0.73,0.88
rainy night market,metal/rust,focused,#B64786,182,71,134,0.35,0.69,0.97
lantern-lit street,artificial-light,warm,#2F993D,47,153,61,0.96,0.63,0.68
neon arcade room,artificial-light,mysterious,#3D3005,61,48,5,0.56,0.62,0.32
urban rooftop,fog/mist,excited,#E81126,232,17,38,0.46,0.73,0.6
quiet meadow,temple,playful,#3F625B,63,98,91,0.49,0.27,0.63
stormy coastline,concrete,peaceful,#C15ABD,193,90,189,0.68,0.84,0.84
foggy mountain trail,fog/mist,warm,#F235BD,242,53,189,0.31,0.42,0.98
sunrise beach,coast,warm,#22BC31,34,188,49,0.73,0.41,0.56
urban rooftop,artificial-light,dark,#E8AEB0,232,174,176,0.99,0.57,0.97
sunrise beach,metal/rust,serene,#60AD0C,96,173,12,0.75,0.97,0.87
cyberpunk alley,rain,energetic,#D45FA5,212,95,165,0.87,0.53,0.58
lantern-lit street,garden,calm,#4AE3F7,74,227,247,0.44,0.88,0.35
underground bunker,metal/rust,intense,#01334E,1,51,78,0.51,0.29,0.42
enchanted garden,garden,romantic,#CD3B8A,205,59,138,0.43,0.4,0.5
neon arcade room,rain,melancholic,#68D9E3,104,217,227,0.89,0.48,0.85
abandoned railway,nature,mysterious,#2C2501,44,37,1,0.57,0.79,0.44
underground bunker,metal/rust,focused,#6EADAE,110,173,174,0.22,0.7,0.78
underground bunker,urban,nostalgic,#01B974,1,185,116,0.96,0.85,0.96
underground bunker,urban,peaceful,#22B89E,34,184,158,0.81,0.3,0.68
abandoned railway,wood,energetic,#24FC8F,36,252,143,0.82,0.94,0.76
cyberpunk alley,sand,energetic,#27D603,39,214,3,0.87,0.74,0.94
rainy night market,cave,excited,#66C31A,102,195,26,0.93,0.57,0.61
desert highway,garden,romantic,#94FD07,148,253,7,0.59,0.14,0.51
neon arcade room,underground,happy,#809FBB,128,159,187,0.89,0.9,0.95
old library,market,melancholic,#0CE9C4,12,233,196,0.76,0.62,0.56
stormy coastline,rain,melancholic,#4006F7,64,6,247,0.36,0.89,0.51
mossy cave,artificial-light,melancholic,#7736C4,119,54,196,0.31,0.1,0.75
futuristic lab,wood,lonely,#931B5B,147,27,91,0.65,0.16,0.79
forest shrine,stone,romantic,#2A81D7,42,129,215,0.65,0.14,0.53
foggy mountain trail,market,intense,#9C9FB2,156,159,178,0.47,0.48,0.92
enchanted garden,artificial-light,lonely,#B66D3F,182,109,63,0.75,0.13,0.62
old library,coast,nostalgic,#E1E374,225,227,116,0.41,0.98,0.53
enchanted garden,market,peaceful,#5B8312,91,131,18,0.22,0.26,0.83
rainy night market,underground,nostalgic,#188E40,24,142,64,0.96,0.4,0.97
crystal cavern,lab,happy,#43341F,67,52,31,0.18,0.94,0.63
ancient temple,grassland,nostalgic,#0E1208,14,18,8,0.19,0.65,0.99
dilapidated warehouse,market,peaceful,#1648E5,22,72,229,0.86,0.32,0.82
urban rooftop,rain,warm,#C7C589,199,197,137,0.19,0.98,0.31
old library,stone,intense,#F96F70,249,111,112,0.33,0.45,0.93
forest shrine,garden,intense,#A3F618,163,246,24,0.67,0.2,0.35
urban rooftop,temple,playful,#BB32BE,187,50,190,0.22,0.75,0.5
ancient temple,cyber,focused,#9D01F5,157,1,245,0.26,0.24,0.7
quiet meadow,lab,happy,#DBD4A2,219,212,162,0.73,0.32,0.51
old library,temple,happy,#57425B,87,66,91,0.66,0.91,0.79
lantern-lit street,urban,dark,#52C655,82,198,85,0.96,0.76,0.41
crystal cavern,fog/mist,melancholic,#0F8FD6,15,143,214,0.46,0.15,0.39
ancient temple,crystal,mysterious,#293AFD,41,58,253,0.48,0.1,0.47
ancient temple,sand,nostalgic,#78809A,120,128,154,0.72,0.75,0.36
forest shrine,stone,energetic,#B7DC58,183,220,88,0.84,0.61,0.52
lantern-lit street,concrete,peaceful,#C57AE6,197,122,230,0.33,0.33,0.82
sunrise beach,metal/rust,warm,#51567D,81,86,125,0.85,0.97,0.48
stormy coastline,cyber,calm,#331EB0,51,30,176,0.81,0.4,0.77
quiet meadow,garden,excited,#F75CB7,247,92,183,0.36,0.78,0.43
old library,urban,playful,#E657AF,230,87,175,0.39,0.39,0.68
urban rooftop,fog/mist,excited,#FEFB18,254,251,24,0.81,0.9,0.38
cyberpunk alley,crystal,energetic,#1CC2A9,28,194,169,0.45,0.56,0.91
rainy night market,artificial-light,excited,#24D2EA,36,210,234,0.21,0.85,0.76
futuristic lab,artificial-light,lonely,#8D20E3,141,32,227,0.76,0.78,0.62
dilapidated warehouse,grassland,calm,#5A253C,90,37,60,0.65,0.46,0.4
quiet meadow,urban,romantic,#E5F10A,229,241,10,0.37,0.69,0.58
rainy night market,lab,energetic,#4AEA5C,74,234,92,0.63,0.52,0.79
stormy coastline,lab,excited,#9CAB8F,156,171,143,0.75,0.99,0.49
enchanted garden,stone,excited,#7119E9,113,25,233,0.96,0.23,0.4
neon arcade room,sand,lonely,#FC65CE,252,101,206,0.72,0.25,0.36
old library,underground,nostalgic,#49F002,73,240,2,0.87,0.61,0.96
quiet meadow,fog/mist,romantic,#A29C4D,162,156,77,0.34,0.67,0.97
sunrise beach,concrete,intense,#18579A,24,87,154,0.34,0.56,0.52
ancient temple,garden,dark,#270F4E,39,15,78,0.69,0.22,0.73
foggy mountain trail,nature,mysterious,#8ACC01,138,204,1,0.96,0.27,0.93
forest shrine,sand,happy,#84FF5E,132,255,94,0.9,0.46,0.55
stormy coastline,temple,happy,#034838,3,72,56,0.23,0.58,0.43
ancient temple,sand,dark,#F562E8,245,98,232,0.89,0.18,0.76
desert highway,coast,mysterious,#3544A5,53,68,165,0.18,0.93,0.32
desert highway,concrete,nostalgic,#141F15,20,31,21,0.86,0.16,0.58
futuristic lab,urban,excited,#1B52FE,27,82,254,0.74,0.87,0.45
cyberpunk alley,temple,warm,#7D6133,125,97,51,0.55,0.34,0.51
old library,lab,lonely,#F28230,242,130,48,0.53,0.6,0.97
abandoned railway,rain,melancholic,#7AAE39,122,174,57,0.36,0.29,0.93
futuristic lab,garden,energetic,#FD375B,253,55,91,0.48,0.5,0.63
cyberpunk alley,fog/mist,warm,#09F81F,9,248,31,0.35,0.79,0.6
stormy coastline,urban,melancholic,#1A1442,26,20,66,0.12,0.86,0.86
mossy cave,crystal,serene,#9E83ED,158,131,237,0.78,0.45,0.34
dilapidated warehouse,metal/rust,warm,#97C193,151,193,147,0.43,0.64,0.49
quiet meadow,market,calm,#CF272D,207,39,45,0.3,0.57,0.76
rainy night market,metal/rust,warm,#956201,149,98,1,0.2,0.27,0.58
desert highway,underground,lonely,#D20CF2,210,12,242,0.89,0.85,0.88
mossy cave,rain,excited,#E01DA5,224,29,165,0.72,0.6,0.54
rainy night market,cave,excited,#6DABBB,109,171,187,0.82,0.13,0.84
crystal cavern,stone,intense,#AB7718,171,119,24,0.62,0.74,0.87
neon arcade room,stone,mysterious,#909ABA,144,154,186,0.35,0.14,0.82
cyberpunk alley,artificial-light,energetic,#D87F6D,216,127,109,0.53,0.11,0.62
futuristic lab,lab,warm,#987105,152,113,5,0.58,0.55,0.52
abandoned railway,coast,peaceful,#4A90FB,74,144,251,0.39,0.4,0.66
crystal cavern,market,lonely,#6453A3,100,83,163,0.34,0.81,0.82
sunrise beach,concrete,happy,#D33BB3,211,59,179,0.12,0.35,0.62
abandoned railway,underground,nostalgic,#7103E2,113,3,226,0.3,0.6,0.38
old library,metal/rust,warm,#F60055,246,0,85,1.0,0.71,0.45
crystal cavern,coast,melancholic,#988E2D,152,142,45,0.35,0.71,0.92
desert highway,wood,serene,#426FF6,66,111,246,0.58,0.87,0.77
old library,garden,romantic,#6A071E,106,7,30,0.56,0.61,0.85
cyberpunk alley,underground,calm,#591E1D,89,30,29,0.23,0.2,0.63
enchanted garden,sand,mysterious,#786EC7,120,110,199,0.94,0.43,0.88
lantern-lit street,rain,warm,#E71A5D,231,26,93,0.58,0.55,0.69
desert highway,nature,lonely,#902DC9,144,45,201,0.29,0.21,0.49
underground bunker,fog/mist,melancholic,#98C434,152,196,52,0.96,0.75,0.95
lantern-lit street,rain,excited,#B1B9D7,177,185,215,0.95,0.87,0.82
lantern-lit street,concrete,romantic,#AD201D,173,32,29,0.43,0.97,0.47
cyberpunk alley,coast,mysterious,#1FC536,31,197,54,0.45,0.53,0.63
enchanted garden,grassland,dark,#2CFE20,44,254,32,0.5,0.73,0.99
crystal cavern,concrete,calm,#D9554F,217,85,79,0.14,0.41,0.42
crystal cavern,wood,melancholic,#BA2983,186,41,131,0.14,0.87,0.88
forest shrine,concrete,playful,#10E891,16,232,145,0.4,0.24,0.34
old library,rain,happy,#249D1F,36,157,31,0.83,0.96,0.63
futuristic lab,urban,focused,#178511,23,133,17,0.13,0.88,0.79
futuristic lab,temple,happy,#E77395,231,115,149,0.59,0.34,0.57
mossy cave,crystal,intense,#6CF492,108,244,146,0.89,0.62,0.47
urban rooftop,coast,serene,#EE3508,238,53,8,0.9,0.74,0.62
mossy cave,cyber,warm,#147ECB,20,126,203,0.99,0.4,0.93
desert highway,underground,excited,#4C606F,76,96,111,0.81,0.28,0.44
forest shrine,garden,peaceful,#B34339,179,67,57,0.54,0.35,0.89
cyberpunk alley,metal/rust,warm,#1BDFF4,27,223,244,0.66,0.37,0.55
lantern-lit street,rain,mysterious,#C1B20A,193,178,10,0.15,0.65,0.97
abandoned railway,crystal,nostalgic,#C11A49,193,26,73,0.74,0.61,0.89
cyberpunk alley,artificial-light,calm,#65DDCD,101,221,205,0.86,0.26,0.64
futuristic lab,wood,melancholic,#0F8F52,15,143,82,0.39,0.67,0.92
sunrise beach,fog/mist,dark,#056758,5,103,88,0.54,0.5,0.81
enchanted garden,rain,happy,#5AC878,90,200,120,0.21,0.98,0.68
neon arcade room,sand,mysterious,#E2B9A9,226,185,169,0.8,0.54,0.57
stormy coastline,crystal,warm,#A509CF,165,9,207,0.44,0.42,0.65
neon arcade room,grassland,playful,#BCDE3D,188,222,61,0.18,0.48,0.65
neon arcade room,cave,intense,#B25A14,178,90,20,0.64,0.87,0.78
lantern-lit street,sand,playful,#C5924B,197,146,75,0.38,0.87,0.77
futuristic lab,concrete,energetic,#3AF98A,58,249,138,0.81,0.65,0.86
stormy coastline,crystal,melancholic,#F64B93,246,75,147,0.12,0.52,0.31
cyberpunk alley,sand,romantic,#933266,147,50,102,0.8,0.79,0.83
quiet meadow,metal/rust,intense,#8A4E1D,138,78,29,0.12,0.2,0.31
sunrise beach,cave,happy,#80F700,128,247,0,0.49,0.17,0.5
cyberpunk alley,crystal,nostalgic,#632A9E,99,42,158,0.83,0.73,0.52
old library,artificial-light,playful,#03EDE7,3,237,231,0.13,0.29,0.71
sunrise beach,fog/mist,romantic,#67AC0D,103,172,13,0.29,0.34,0.92
quiet meadow,stone,playful,#1DBFFB,29,191,251,0.76,0.7,0.68
desert highway,grassland,playful,#8EA7E6,142,167,230,0.81,0.7,0.6
ancient temple,crystal,serene,#D2872A,210,135,42,0.84,0.63,0.91
lantern-lit street,fog/mist,dark,#6A44E8,106,68,232,0.51,0.13,0.98
lantern-lit street,crystal,lonely,#EEF591,238,245,145,0.75,0.26,0.94
urban rooftop,stone,peaceful,#497041,73,112,65,0.45,0.61,0.31
quiet meadow,temple,serene,#1819E8,24,25,232,0.91,0.38,0.75
rainy night market,stone,warm,#3D2237,61,34,55,0.41,0.38,0.53
lantern-lit street,grassland,romantic,#3C4487,60,68,135,0.38,0.7,0.99
crystal cavern,nature,lonely,#C9A15E,201,161,94,0.88,1.0,0.92
cyberpunk alley,market,intense,#4537C7,69,55,199,0.65,0.88,0.78
cyberpunk alley,fog/mist,dark,#B158EF,177,88,239,0.48,0.75,0.9
old library,market,excited,#C18137,193,129,55,0.48,0.81,0.79
stormy coastline,lab,dark,#A0C093,160,192,147,0.26,0.93,0.34
forest shrine,temple,warm,#C8D110,200,209,16,0.16,0.51,0.93
old library,crystal,calm,#665A49,102,90,73,0.19,0.6,0.54
neon arcade room,cave,mysterious,#C33AEB,195,58,235,0.7,0.22,0.53
rainy night market,cyber,melancholic,#CE7226,206,114,38,0.62,0.89,0.76
cyberpunk alley,nature,dark,#38514C,56,81,76,0.17,0.53,1.0
cyberpunk alley,underground,lonely,#4EDA03,78,218,3,0.86,0.5,0.98
neon arcade room,nature,melancholic,#604419,96,68,25,0.82,0.51,0.59
stormy coastline,market,playful,#FB7ABF,251,122,191,0.47,0.81,0.96
dilapidated warehouse,nature,serene,#444EC7,68,78,199,0.16,0.95,0.48
dilapidated warehouse,crystal,mysterious,#18C93A,24,201,58,0.46,0.29,0.82
urban rooftop,lab,romantic,#489949,72,153,73,0.39,0.3,0.74
foggy mountain trail,sand,lonely,#A7249D,167,36,157,0.52,0.64,0.93
futuristic lab,temple,calm,#236AD3,35,106,211,0.32,0.73,0.75
crystal cavern,rain,calm,#DDA681,221,166,129,0.78,0.67,0.87
futuristic lab,urban,nostalgic,#61FBD6,97,251,214,0.82,0.17,0.64
cyberpunk alley,urban,dark,#08BA34,8,186,52,0.38,0.94,0.68
sunrise beach,crystal,melancholic,#1FFC6B,31,252,107,0.14,0.19,0.55
neon arcade room,market,romantic,#764EA8,118,78,168,0.89,0.3,0.54
neon arcade room,underground,romantic,#D886F1,216,134,241,0.45,0.29,0.85
forest shrine,urban,dark,#2F6C3F,47,108,63,0.44,0.12,0.52
futuristic lab,temple,energetic,#5E8B7E,94,139,126,0.1,0.21,0.69
futuristic lab,concrete,energetic,#699FD6,105,159,214,0.48,0.73,0.32
futuristic lab,nature,calm,#82627B,130,98,123,0.87,0.74,0.47
sunrise beach,market,serene,#9F0FD2,159,15,210,0.28,0.32,0.6
enchanted garden,temple,romantic,#8678DD,134,120,221,0.93,0.21,0.86
forest shrine,underground,intense,#79E546,121,229,70,0.82,0.97,0.47
underground bunker,crystal,intense,#B03CC4,176,60,196,0.77,0.98,0.94
rainy night market,nature,serene,#539C16,83,156,22,0.83,0.89,0.72
lantern-lit street,market,romantic,#A86A12,168,106,18,0.43,0.41,0.77
foggy mountain trail,rain,warm,#4ABF61,74,191,97,0.87,0.96,0.93
underground bunker,underground,melancholic,#D947AF,217,71,175,0.59,0.6,0.35
crystal cavern,metal/rust,happy,#30E501,48,229,1,0.89,0.53,0.4
lantern-lit street,grassland,peaceful,#ECCA5F,236,202,95,0.88,0.73,0.98
rainy night market,crystal,focused,#80015F,128,1,95,0.75,0.65,0.56
futuristic lab,artificial-light,excited,#99F742,153,247,66,0.89,0.75,0.78
crystal cavern,coast,romantic,#C5A9F0,197,169,240,0.39,0.22,0.48
rainy night market,garden,excited,#0A8E8D,10,142,141,0.48,0.78,0.32
sunrise beach,nature,calm,#BDEA13,189,234,19,0.54,0.3,0.88
abandoned railway,coast,excited,#1508A5,21,8,165,0.2,0.21,0.68
forest shrine,rain,serene,#382B79,56,43,121,0.78,0.63,0.48
desert highway,concrete,melancholic,#E11EF2,225,30,242,0.88,0.8,0.92
neon arcade room,coast,lonely,#4162DE,65,98,222,0.12,0.78,0.4
ancient temple,lab,peaceful,#D126D4,209,38,212,0.56,0.81,0.83
urban rooftop,nature,warm,#C69803,198,152,3,0.75,0.53,0.47
old library,concrete,focused,#16C68E,22,198,142,0.3,0.65,0.76
crystal cavern,fog/mist,serene,#5621BA,86,33,186,0.68,0.34,0.87
underground bunker,cyber,peaceful,#C7EB3C,199,235,60,0.36,0.58,0.33
lantern-lit street,grassland,peaceful,#F9F7B6,249,247,182,0.9,0.73,0.67
cyberpunk alley,lab,excited,#C71E4D,199,30,77,0.49,0.3,0.97
abandoned railway,market,romantic,#A2F979,162,249,121,0.13,0.53,0.74
abandoned railway,nature,nostalgic,#BD4AB1,189,74,177,0.19,0.34,0.41
mossy cave,urban,energetic,#19EF15,25,239,21,0.61,0.37,0.46
foggy mountain trail,sand,peaceful,#E7F6BE,231,246,190,0.23,0.45,0.56
ancient temple,artificial-light,excited,#B3CD16,179,205,22,0.94,0.52,0.7
lantern-lit street,fog/mist,lonely,#527790,82,119,144,0.14,0.68,0.54
sunrise beach,cave,romantic,#0A59B2,10,89,178,0.24,0.95,0.74
old library,concrete,melancholic,#CE02B5,206,2,181,0.83,0.63,0.61
futuristic lab,underground,happy,#2EA654,46,166,84,0.24,0.19,0.31
lantern-lit street,coast,playful,#7F49A8,127,73,168,0.68,0.33,0.66
old library,metal/rust,excited,#E89BC6,232,155,198,0.92,0.75,0.53
sunrise beach,wood,melancholic,#B473EA,180,115,234,0.11,0.68,0.57
cyberpunk alley,nature,mysterious,#79682B,121,104,43,0.93,0.11,0.35
old library,coast,serene,#9D8554,157,133,84,0.11,0.41,0.63
lantern-lit street,wood,peaceful,#37A2F6,55,162,246,0.36,0.97,0.62
ancient temple,cyber,warm,#44EC04,68,236,4,0.44,0.76,0.76
stormy coastline,metal/rust,mysterious,#FB6C7E,251,108,126,0.8,0.37,0.43
urban rooftop,stone,calm,#0E6F66,14,111,102,0.43,0.63,0.87
neon arcade room,metal/rust,melancholic,#EFC828,239,200,40,0.1,0.48,0.82
ancient temple,wood,nostalgic,#C0EEFE,192,238,254,1.0,0.14,0.5
stormy coastline,metal/rust,romantic,#AB7E47,171,126,71,0.21,0.72,0.37
cyberpunk alley,lab,excited,#75632D,117,99,45,0.11,0.24,0.5
rainy night market,grassland,mysterious,#C48743,196,135,67,0.84,0.34,0.86
mossy cave,concrete,melancholic,#6E57DA,110,87,218,0.7,0.82,0.59
forest shrine,underground,mysterious,#ABD915,171,217,21,0.15,0.66,0.72
mossy cave,market,calm,#A29B7E,162,155,126,0.83,0.87,0.69
underground bunker,wood,mysterious,#99B8B2,153,184,178,0.47,0.4,0.34
rainy night market,market,energetic,#9DF81C,157,248,28,0.14,0.42,0.55
lantern-lit street,sand,happy,#9EE572,158,229,114,0.24,0.53,0.88
neon arcade room,grassland,dark,#DA76C3,218,118,195,0.42,0.28,0.93
mossy cave,underground,serene,#CD3BAE,205,59,174,0.38,0.75,0.6
abandoned railway,crystal,dark,#5AE2CC,90,226,204,0.54,0.2,0.51
underground bunker,stone,serene,#2C7744,44,119,68,0.59,0.76,0.91
ancient temple,grassland,calm,#B29F16,178,159,22,0.92,0.92,0.57
desert highway,grassland,playful,#BA8C36,186,140,54,0.47,0.51,0.72
dilapidated warehouse,underground,calm,#626E70,98,110,112,0.63,0.4,0.37
forest shrine,underground,romantic,#AF1BA1,175,27,161,0.27,0.97,0.66
stormy coastline,rain,happy,#A862A2,168,98,162,0.91,0.15,0.37
forest shrine,metal/rust,lonely,#AC08E6,172,8,230,0.46,0.43,1.0
stormy coastline,wood,lonely,#BC534E,188,83,78,0.21,0.29,0.68
forest shrine,cyber,happy,#6141F9,97,65,249,0.26,0.14,0.48
forest shrine,artificial-light,happy,#E0E69A,224,230,154,0.9,0.87,0.43
forest shrine,underground,calm,#35511F,53,81,31,0.41,0.82,0.81
quiet meadow,urban,excited,#79F0EB,121,240,235,0.58,0.98,0.86
mossy cave,artificial-light,energetic,#7FFC21,127,252,33,0.94,0.67,0.45
forest shrine,fog/mist,peaceful,#BDE74E,189,231,78,0.87,0.52,0.4
cyberpunk alley,sand,serene,#96F403,150,244,3,0.9,0.53,0.72
dilapidated warehouse,fog/mist,excited,#5E8618,94,134,24,0.11,0.77,0.36
dilapidated warehouse,coast,serene,#4ED329,78,211,41,0.64,0.63,0.79
stormy coastline,metal/rust,happy,#798271,121,130,113,0.89,0.96,0.54
stormy coastline,temple,melancholic,#18C904,24,201,4,0.15,0.56,0.7
stormy coastline,cave,mysterious,#545B6C,84,91,108,0.74,0.52,0.32
forest shrine,rain,dark,#1C0A0A,28,10,10,0.71,0.96,0.95
desert highway,wood,excited,#F782FF,247,130,255,0.68,0.31,0.97
underground bunker,cyber,peaceful,#048312,4,131,18,0.57,0.84,0.89
sunrise beach,artificial-light,calm,#53AC87,83,172,135,0.19,0.28,0.83
futuristic lab,stone,warm,#87D53D,135,213,61,0.82,0.73,0.81
stormy coastline,sand,happy,#BEF593,190,245,147,0.54,0.54,0.9
mossy cave,garden,dark,#66C8ED,102,200,237,0.57,0.51,0.61
cyberpunk alley,sand,warm,#C541B4,197,65,180,0.3,0.87,0.58
ancient temple,coast,intense,#B6DA1A,182,218,26,0.98,0.85,0.69
futuristic lab,urban,intense,#2E6EC0,46,110,192,0.11,0.87,0.61
ancient temple,stone,intense,#51777F,81,119,127,0.34,0.83,0.7
underground bunker,cave,mysterious,#3D55CE,61,85,206,0.35,0.63,0.9
urban rooftop,grassland,focused,#5CDCF4,92,220,244,0.21,0.41,0.5
stormy coastline,metal/rust,focused,#4D15CB,77,21,203,0.3,0.89,0.41
rainy night market,artificial-light,excited,#DE2239,222,34,57,0.99,0.57,0.77
underground bunker,rain,peaceful,#B34EED,179,78,237,0.74,0.43,0.51
quiet meadow,market,calm,#2A724F,42,114,79,0.65,0.63,0.38
